,id,Recipient (video or comment),comment
1,UgyP0RsuOr5ebbn6LMx4AaABAg,fZQrx0T47bM,"Delete it, cause it lag"
2,UgiDUzuktmt7FXgCoAEC,fZQrx0T47bM,u have so much healing powers how can ???
3,UgiDUzuktmt7FXgCoAEC.8TyD_dEYBEN8ULgumFk7c2,UgiDUzuktmt7FXgCoAEC,Will make success
4,Ugi_zgakkZwnE3gCoAEC,fZQrx0T47bM,wtf tiếng j thế?
5,Ugi_zgakkZwnE3gCoAEC.8QEbRD6PuTm9Z99cejW_hQ,Ugi_zgakkZwnE3gCoAEC,Bro là người việt à
6,Ugi_zgakkZwnE3gCoAEC.8QEbRD6PuTm8QF6OV8s91M,Ugi_zgakkZwnE3gCoAEC,DereK 469  emoji_face_with_tears_of_joy  mưa rơi xào sạc
7,UgzgwwPfYFfVMRi_Tg14AaABAg,6bACEXl9x7U,I was looking for 'Horrible Histories' which is a riot...This really does sound like someone pinching their nose while speaking...
8,Ugwukay9pTEukQN9kjJ4AaABAg,6bACEXl9x7U,Articulate....
9,UgxZcGFE149JCajmz614AaABAg,6bACEXl9x7U,lknlkhnio
10,UgzNXWeEXqsAfO3RQkZ4AaABAg,6bACEXl9x7U,sound like cain and able
11,UgzW6R7l5B_JLnJRKGR4AaABAg,6bACEXl9x7U,OPTIME   OPTIME
12,UgynKeqfM6Tjj0Yz17R4AaABAg,bQkqxgbpb9k,"Sehr informativ, den Wolf finde ich super!"
13,UghLB60S_cRBW3gCoAEC,bQkqxgbpb9k,Wo ist der kampf zwischen romolus und remus ihr opfer
