,id,Recipient (video or comment),comment
1,UgxaO0SoK0Ldebq9oON4AaABAg,CZtNAW-rffc,... i bet that they are high school projects - art or history projects - i did one in grade eleven [11] as an ancient history project - a clay cuneiform block ... it is probably gathering dust in a dodgy cambridge university front as a legitimate artifact from pohnpei not pompei ...
2,Ugy-8hu4eTLCDI2ma1V4AaABAg,CZtNAW-rffc,nice to know about the old coins
3,UgyapjqeeNQvvFvZzrJ4AaABAg,CZtNAW-rffc,"Only just found you had a youtube channel, need to advertise this more!!"
4,UgjnQC6X6IBgL3gCoAEC,CZtNAW-rffc,I LOVE THE SONG! :)
5,UgjnQC6X6IBgL3gCoAEC.8MHRk5mzZkF8nPK5HjtK4d,UgjnQC6X6IBgL3gCoAEC,"Are you, by chance, related to the composer?"
6,UgjYk6kzcqACkXgCoAEC,CZtNAW-rffc,"very nice and lovely music, thank you for making this."
7,UgjYk6kzcqACkXgCoAEC.86t4N45S9fi8nPK3O8n0oH,UgjYk6kzcqACkXgCoAEC,"""You can't be serious!""-John McEnroe"
8,UgzWMS71vO34LIyatst4AaABAg,qNCR8VpIF7s,"The idea is nice for young students, but in that case you should correct some Latin syntax errors."
9,UgwtA9TPNfCuwTBO5wV4AaABAg,xrN6KtqaCTk, emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_astonished_face  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_smiling_face_with_heart-eyes  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_hundred_points  emoji_fire  emoji_fire  emoji_fire  emoji_fire  emoji_fire  emoji_fire 
10,UgwHKNur8csu3_al-OF4AaABAg,xrN6KtqaCTk,Virna Lisi - what a true beauty.
11,UgzVM_OGPCyaRTVPPn54AaABAg,xrN6KtqaCTk,Steve Reeves Is So MUSCULAR ManlSEXUAL  emoji_fire  SEXUALMANLYNESS ALL OVER HIS HOT BODY  emoji_OK_hand   emoji_clapping_hands   emoji_thumbs_up  SEXY!&Very Handsome!Too!
12,UgzAfo5R-dBO0eiZxj14AaABAg,xrN6KtqaCTk,Thanks For Sharing These Videos  emoji_video_camera   emoji_raising_hands   emoji_red_heart   emoji_folded_hands !
13,UgzE82M54HnNchr2ITZ4AaABAg,xrN6KtqaCTk,He look it  better with the beard
14,UgwhyRMzomtW769Yya94AaABAg,xrN6KtqaCTk,"Steven L. Reeves and Virna Lisi, living Greek gods."
15,Ugy0A6eLsvMLrJZWmjN4AaABAg,xrN6KtqaCTk,Very beautiful. Thank you Marek.
16,Ugy0A6eLsvMLrJZWmjN4AaABAg.8kP4oujgk8R8kPhyuEvRLn,Ugy0A6eLsvMLrJZWmjN4AaABAg,Glad you like it. Thanks for comment. Marek
17,UgilfgBFCIH4ZXgCoAEC,xrN6KtqaCTk,i have thia movie on VHS great movie
18,Ugww-fOPo9KnTXWVmsZ4AaABAg,xrN6KtqaCTk,Nice job  on this video. The music goes well with the video. Even though Steve was lighter in this movie he still looked great.
19,Ugxc4nZIBD0tLgBfmLV4AaABAg,sFUoQjqtH7s,"I'm sorry, I just watched two episodes of Moonknight, and that one with hair looks like it has a bird skull for a head!"
20,UgyK09nDsG4PM87B1id4AaABAg,sFUoQjqtH7s,Wait is that real hair ?
21,UgxG0sM38ert9hFFg7N4AaABAg,sFUoQjqtH7s,Yooo this looks so badass. Goodjob!
22,Ugzt9Ekzx1mgRlV6Vnt4AaABAg,LzTYJjG_2Ic,Si ala birjen labiolo un dios  de dónde salió el abuelo de Rómulo i remo
23,UgznB38uqpTDqWHVXqd4AaABAg,LzTYJjG_2Ic,Dato curioso no era una loba animal si no una lupa de dónde viene la palabra lupanar
24,Ugzar3UZm06iwFiKoWN4AaABAg,LzTYJjG_2Ic,lo cuenta muy bien. Me a gustado mucho.
25,UgypCyFIzrZ3fXLuARl4AaABAg,LzTYJjG_2Ic,1A el curso más piola emoji_call_me_hand  emoji_call_me_hand 
26,Ugxdbzf3YwmDoZ6X9mR4AaABAg,LzTYJjG_2Ic,"Gracias,muy bien contado"
27,Ugy5aGaGYJHKRpxM0ol4AaABAg,LzTYJjG_2Ic,Desesperante las pausas da la sensación que estuviera leyendo un libro
28,UgwTb_iFeHIUaXilNel4AaABAg,LzTYJjG_2Ic,mal video
29,UgyobKNPlG-76idrljh4AaABAg,LzTYJjG_2Ic,Aqui viendo el video para la clase
30,UgwQFscrlVAJ3tzK3F14AaABAg,LzTYJjG_2Ic,Yo vine por curiosidad :)
31,UgwVT7YJVyul6apMpWN4AaABAg,LzTYJjG_2Ic,El cain romano
32,UgwKzuLAYfPcMol1yFR4AaABAg,LzTYJjG_2Ic,"Que gobernó el mundo, o que gobierna el mundo, digo la iglesia católica es Romana no?"
33,UgxvmiroWbu0C7btpwt4AaABAg,LzTYJjG_2Ic,"Muy bueno,justo mañana tengo un examen del liceo y se trata de esto,muchas gracias"
34,UgzPtY0sxbGucB5g9X94AaABAg,LzTYJjG_2Ic,Muchas gracias por la información muy interesante saludos
35,UgxcCx_nvYAGbtOZhqN4AaABAg,LzTYJjG_2Ic,Muy interesante
36,Ugy0bA1ngKnN4a3FxJp4AaABAg,LzTYJjG_2Ic,Geniooo me sirvió mucho y lo mejor es que lo ví una vez al vídeo y ya lo sé de memoria por lo bien explicado
37,UgwbS4-sqj6MdG28Rd94AaABAg,LzTYJjG_2Ic,Quien vino por el colegio  emoji_face_with_raised_eyebrow  emoji_camera_with_flash  emoji_hot_face  emoji_money-mouth_face 
38,UgysgJ-MIkyxlYmo3FJ4AaABAg,LzTYJjG_2Ic,Vengo por tarea :)
39,UgxmQ3F7hHiEicZxvZN4AaABAg,LzTYJjG_2Ic,"Soy docente y lo utilicé en mi clase sobre el origen de Roma, súper claro y didáctico, saludos desde Argentina"
40,UgxDmHBC1oMf9tC6jrp4AaABAg,LzTYJjG_2Ic,gracias xd
41,UgyLAddniei4KMs0yzh4AaABAg,LzTYJjG_2Ic,sigo sin entender las creencias religiosas de los romanos en su fundación
42,UgzzSXWKGffAYWs1Evt4AaABAg,LzTYJjG_2Ic,gracias tengo prueba mañana y me sirvió mucho
43,UgxuVDdLyfyICzPdwyh4AaABAg,LzTYJjG_2Ic,ñ
