,id,Recipient (video or comment),comment
46,Ughv7Cj2fwepGXgCoAEC,te57eTi1mS4,no es muy bueno
47,UggRhNzicP-p5XgCoAEC,te57eTi1mS4,mala la wea
48,UghdaPqCmTAYmHgCoAEC,te57eTi1mS4,"La verdad esta muy buena y muy bien resumida la historia de como se hizo roma (Leyenda) la gente qe dice q es mala es por que no se sabe la verdadera historia, Felicitaciones ;)"
49,UgxVdtP1pTI0XzTvfat4AaABAg,te57eTi1mS4,q putada tan mala
50,Ugw0_zWH-5NiE8W7tT94AaABAg,te57eTi1mS4,"Es buenísimo!!! Gracias!! En clase de latín lo hemos pasado dos veces, mercii!"
51,UgzDAHm0rhNdMN8SJRR4AaABAg,te57eTi1mS4,Regular
52,UgwMsSFcBJjzWKGqfb14AaABAg,te57eTi1mS4,@mm muhhjjl jm @@
53,UgzJ0Q_Z9yeZ6--auYl4AaABAg,te57eTi1mS4,la wea mas mala que he visto
54,Ugwdm7M1z3LSZGXI2UN4AaABAg,te57eTi1mS4,"xd
"
55,Ugyb_Eu-93kBhghEt2h4AaABAg,te57eTi1mS4,Valla kk
56,Ugzl065wCcBDZbDxi-t4AaABAg,te57eTi1mS4,jajjajajajajja se la violaronnn?? s ctm que mme rei wnnnnn
57,UgyWwVFS4hA4i5yq-uJ4AaABAg,te57eTi1mS4,"Lo necesitaba era para una tarea me gusto porque era en dibujos pero que orror yo no necesitaba las grocerias
"
58,UgznJnXmut8FpPh6vwN4AaABAg,te57eTi1mS4,"Es Muy brebe , pero igual bien"
59,Ugyg7Jgm8rPUOl6D15Z4AaABAg,te57eTi1mS4,"PESIMO!!!!!
"
60,Ugy2GS8ErapXsrgoewJ4AaABAg,_Sr5acdItG8, emoji_thumbs_up_light_skin_tone 
61,UgwjlBOr79V4-jjY3th4AaABAg,_Sr5acdItG8,"Hi, ich würde mich sehr über ein paar Tipps freuen. emoji_slightly_smiling_face "
62,Ugz1dkMjAzAmfc08rFN4AaABAg,r49UF4GvGGg,did you use a picture of the great daku tree from legends of zelda lol
